排名,名稱,網址,圖片,價格
1,我不喜歡我的黃色尾巴（作者親簽版）,https://www.books.com.tw/products/0010954065?loc=P_0004_001,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954065.jpg&v=642572c1k&w=150&h=150,優惠價：79折316元
2,膽大黨 6 (首刷限定版),https://www.books.com.tw/products/0010952941?loc=P_0004_002,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/29/0010952941.jpg&v=641835dbk&w=150&h=150,優惠價：95折128元
3,傳奇總裁  贏在心性,https://www.books.com.tw/products/0010954543?loc=P_0004_003,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/45/0010954543.jpg&v=6433e536k&w=150&h=150,優惠價：79折379元
4,養氣二部曲：用站樁功法、洗脈輪及生命體悟，成就愛與幸福,https://www.books.com.tw/products/0010952700?loc=P_0004_004,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/27/0010952700.jpg&v=6412f020k&w=150&h=150,優惠價：79折308元
5,我不喜歡我的黃色尾巴,https://www.books.com.tw/products/0010954068?loc=P_0004_005,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954068.jpg&v=6424136fk&w=150&h=150,優惠價：79折316元
6,看懂聯合國永續發展目標（SDGs）,https://www.books.com.tw/products/0010876465?loc=P_0004_006,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/087/64/0010876465.jpg&v=5fae6074k&w=150&h=150,優惠價：95折285元
7,產業隊長張捷致富術：瞄準5大錢景，挖掘趨勢飆股,https://www.books.com.tw/products/0010952064?loc=P_0004_007,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/20/0010952064.jpg&v=641ae6f5k&w=150&h=150,優惠價：79折300元
8,糖果色的戀愛反論(6) 特裝版,https://www.books.com.tw/products/0010953568?loc=P_0004_008,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953568.jpg&v=641c2a58k&w=150&h=150,優惠價：79折316元
9,[數位版]MyCard 150點數卡,https://www.books.com.tw/products/N000247034?loc=P_0004_009,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/024/70/N000247034.jpg&v=521ffd54k&w=150&h=150,優惠價：150元
10,[數位版]MyCard 350點數卡,https://www.books.com.tw/products/N000548777?loc=P_0004_010,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/054/87/N000548777.jpg&v=54afafddk&w=150&h=150,優惠價：350元
11,[數位版]MyCard 500點數卡,https://www.books.com.tw/products/N000548775?loc=P_0004_011,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/054/87/N000548775.jpg&v=54afafcek&w=150&h=150,優惠價：500元
12,[數位版]MyCard 1150點數卡,https://www.books.com.tw/products/N000407696?loc=P_0004_012,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/040/76/N000407696.jpg&v=5226f692k&w=150&h=150,優惠價：1150元
13,躲在蚊子後面的大象：那些隱藏在生活小事背後的深層情緒【首刷限量附贈7款「內在大象療癒藏書卡」組】,https://www.books.com.tw/products/0010953935?loc=P_0004_013,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/39/0010953935.jpg&v=6422c22fk&w=150&h=150,優惠價：79折300元
14,[數位版]MyCard 450點數卡,https://www.books.com.tw/products/N000407127?loc=P_0004_014,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/040/71/N000407127.jpg&v=5225ad86k&w=150&h=150,優惠價：450元
15,我可能錯了：森林智者的最後一堂人生課,https://www.books.com.tw/products/0010947051?loc=P_0004_015,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/70/0010947051.jpg&v=63b6b4c6k&w=150&h=150,優惠價：79折355元
16,[數位版]MyCard 300點數卡,https://www.books.com.tw/products/N001007287?loc=P_0004_016,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/100/72/N001007287.jpg&v=5c08cbc1k&w=150&h=150,優惠價：300元
17,鈴芽之旅（獨家愛藏版）,https://www.books.com.tw/products/0010946066?loc=P_0004_017,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/60/0010946066.jpg&v=6419953bk&w=150&h=150,優惠價：550元
18,給存股新手的財富翻滾筆記【博客來暢銷慶功版 限量QA小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬！,https://www.books.com.tw/products/0010941120?loc=P_0004_018,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/11/0010941120.jpg&v=6368de57k&w=150&h=150,優惠價：66折250元
19,[數位版]MyCard 1000點數卡,https://www.books.com.tw/products/N000266133?loc=P_0004_019,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/026/61/N000266133.jpg&v=521ffd54k&w=150&h=150,優惠價：1000元
20,人生計畫 OF THE END 特裝版,https://www.books.com.tw/products/0010953566?loc=P_0004_020,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953566.jpg&v=641c2a58k&w=150&h=150,優惠價：79折276元
21,貓眼完全版盒裝套書 (08-15冊)【首刷限定版】,https://www.books.com.tw/products/0010954063?loc=P_0004_021,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954063.jpg&v=6424136ek&w=150&h=150,優惠價：3300元
22,紅色賭盤：令中共高層害怕，直擊現代中國金權交易背後的腐敗內幕,https://www.books.com.tw/products/0010946355?loc=P_0004_022,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/63/0010946355.jpg&v=63ad6cb2k&w=150&h=150,優惠價：79折331元
23,[數位版]MyCard 750點數卡,https://www.books.com.tw/products/N000873990?loc=P_0004_023,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/087/39/N000873990.jpg&v=59fbd996k&w=150&h=150,優惠價：750元
24,[數位版]MyCard 50點數卡,https://www.books.com.tw/products/N001007292?loc=P_0004_024,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/100/72/N001007292.jpg&v=5c08cbc5k&w=150&h=150,優惠價：50元
25,花長出了骨頭,https://www.books.com.tw/products/0010953949?loc=P_0004_025,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/39/0010953949.jpg&v=6424133ek&w=150&h=150,優惠價：79折237元
26,過激的Omega 特裝版,https://www.books.com.tw/products/0010953565?loc=P_0004_026,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953565.jpg&v=641c2a57k&w=150&h=150,優惠價：79折379元
27,[數位版]MyCard 400點數卡,https://www.books.com.tw/products/N001007288?loc=P_0004_027,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/100/72/N001007288.jpg&v=5c08cbc1k&w=150&h=150,優惠價：400元
28,善存 醫用口罩(未滅菌)(雙鋼印)-成人平面 石墨黑(50入/盒),https://www.books.com.tw/products/N001300703?loc=P_0004_028,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/130/07/N001300703.jpg&v=608fc9a4k&w=150&h=150,優惠價：99元
29,【cama cafe】浸泡式咖啡- 蔗香茶韻,https://www.books.com.tw/products/N001105560?loc=P_0004_029,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/110/55/N001105560.jpg&v=60d18eadk&w=150&h=150,優惠價：275元
30,鏈鋸人 12(首刷限定版),https://www.books.com.tw/products/0010942385?loc=P_0004_030,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/23/0010942385.jpg&v=639bd82ak&w=150&h=150,優惠價：95折124元
31,Simon Coll 99% 黑巧克力片 85g,https://www.books.com.tw/products/N000761976?loc=P_0004_031,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/076/19/N000761976.jpg&v=5dca7544k&w=150&h=150,優惠價：220元
32,惡癖(3) 特裝版,https://www.books.com.tw/products/0010953564?loc=P_0004_032,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953564.jpg&v=641c2a57k&w=150&h=150,優惠價：79折316元
33,逆思維：華頓商學院最具影響力的教授，突破人生盲點的全局思考【博客來獨家書封版】,https://www.books.com.tw/products/0010928119?loc=P_0004_033,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/81/0010928119.jpg&v=62b1abbbk&w=150&h=150,優惠價：79折331元
34,超越地表最強小編！社群加薪時代：讓你幫自己每月加薪20%：社群經營達人冒牌生不藏私最完整圖文教學，FB、IG、LINE、YT……自媒體變現全攻略(簽名版),https://www.books.com.tw/products/0010951112?loc=P_0004_034,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/11/0010951112.jpg&v=6405c183k&w=150&h=150,優惠價：79折300元
35,【cama cafe】浸泡式咖啡- 酒香胡桃,https://www.books.com.tw/products/N001105559?loc=P_0004_035,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/110/55/N001105559.jpg&v=60d18f62k&w=150&h=150,優惠價：275元
36,祕密,https://www.books.com.tw/products/0010369914?loc=P_0004_036,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/036/99/0010369914.jpg&v=5fb254bdk&w=150&h=150,優惠價：79折197元
37,原子習慣：細微改變帶來巨大成就的實證法則,https://www.books.com.tw/products/0010822522?loc=P_0004_037,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/25/0010822522.jpg&v=5cda990ck&w=150&h=150,優惠價：79折261元
38,[數位版]PSN點數 $800,https://www.books.com.tw/products/N001369179?loc=P_0004_038,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/136/91/N001369179.jpg&v=61a8921bk&w=150&h=150,優惠價：800元
39,憧憬的畫室(上+下) 特裝版,https://www.books.com.tw/products/0010953561?loc=P_0004_039,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953561.jpg&v=641c2a56k&w=150&h=150,優惠價：79折474元
40,鏡之孤城【2018本屋大賞得獎作品】,https://www.books.com.tw/products/0010794228?loc=P_0004_040,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/42/0010794228.jpg&v=5b55ae6dk&w=150&h=150,優惠價：79折331元
41,死役所(13),https://www.books.com.tw/products/0010954071?loc=P_0004_041,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954071.jpg&v=64241370k&w=150&h=150,優惠價：85折119元
42,再孤單的島，也有我的熱鬧,https://www.books.com.tw/products/0010950434?loc=P_0004_042,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/04/0010950434.jpg&v=63ee05f1k&w=150&h=150,優惠價：79折355元
43,[數位版]MyCard 90點數卡,https://www.books.com.tw/products/N000873989?loc=P_0004_043,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/087/39/N000873989.jpg&v=59fbd996k&w=150&h=150,優惠價：90元
44,我喜歡我自己,https://www.books.com.tw/products/0010943545?loc=P_0004_044,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/35/0010943545.jpg&v=63888260k&w=150&h=150,優惠價：79折613元
45,捕食目標雛鳥君 全,https://www.books.com.tw/products/0010949000?loc=P_0004_045,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/90/0010949000.jpg&v=63d8edb7k&w=150&h=150,優惠價：85折119元
46,赫黑醫生的50個故事處方：全球暢銷千萬心理諮商經典！用故事對症人生最糾結難解的課題,https://www.books.com.tw/products/0010950696?loc=P_0004_046,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/06/0010950696.jpg&v=63ef575ak&w=150&h=150,優惠價：79折355元
47,蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,https://www.books.com.tw/products/0010914794?loc=P_0004_047,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/091/47/0010914794.jpg&v=61f2743dk&w=150&h=150,優惠價：79折316元
48,狐狸與獅子：跨國金融家給一流人的修練智慧,https://www.books.com.tw/products/0010953690?loc=P_0004_048,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/36/0010953690.jpg&v=641d7bc6k&w=150&h=150,優惠價：79折292元
49,ChatGPT一本搞定：讓AI成為你的工作好幫手，徹底打敗拒絕新科技的人,https://www.books.com.tw/products/0010952461?loc=P_0004_049,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/24/0010952461.jpg&v=64104dbdk&w=150&h=150,優惠價：79折300元
50,你要好好的,https://www.books.com.tw/products/0010941687?loc=P_0004_050,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/16/0010941687.jpg&v=638ec5fdk&w=150&h=150,優惠價：75折270元
51,魏嘉瑩 / 喜歡我吧 創作自選輯 Special Collection,https://www.books.com.tw/products/0020231659?loc=P_0004_051,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/023/16/0020231659.jpg&v=643510b1k&w=150&h=150,優惠價：448元
52,Nintendo Switch遊戲軟體《薩爾達傳說 王國之淚》中文版[台灣公司貨],https://www.books.com.tw/products/N001395234?loc=P_0004_052,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/139/52/N001395234.jpg&v=640d424ck&w=150&h=150,優惠價：1850元
53,晶片戰爭（博客來獨家書衣款）：矽時代的新賽局，解析地緣政治下全球最關鍵科技的創新、商業模式與台灣的未來,https://www.books.com.tw/products/0010949913?loc=P_0004_053,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/99/0010949913.jpg&v=63ef65e4k&w=150&h=150,優惠價：568元
54,文藝復興大師帶路：達文西、拉斐爾、米開朗基羅在想什麼？畫裡玄機全公開,https://www.books.com.tw/products/0010953969?loc=P_0004_054,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/39/0010953969.jpg&v=6438d77dk&w=150&h=150,優惠價：79折355元
55,[數位版]PSN點數 $1000,https://www.books.com.tw/products/N001369180?loc=P_0004_055,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/136/91/N001369180.jpg&v=61a8921bk&w=150&h=150,優惠價：1000元
56,全息人生：專注本業，閒錢投資。輕鬆打造股市印鈔機，COVER 你一生！ (電子書),https://www.books.com.tw/products/E050157083?loc=P_0004_056,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/015/70/E050157083.jpg&v=642555e4k&w=150&h=150,優惠價：226元
57,拜託請穿上，鷹峰同學 6,https://www.books.com.tw/products/0010952233?loc=P_0004_057,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/22/0010952233.jpg&v=640b071ck&w=150&h=150,優惠價：95折133元
58,在床上請給我世界第一的愛,https://www.books.com.tw/products/0010954015?loc=P_0004_058,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954015.jpg&v=64241348k&w=150&h=150,優惠價：79折118元
59,【HWC 黑沃】馬卡龍系列咖啡掛耳禮盒10gX20入/盒(禮盒),https://www.books.com.tw/products/N001326547?loc=P_0004_059,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/132/65/N001326547.jpg&v=60efb645k&w=150&h=150,優惠價：349元
60,Cheese 6月號/2023,https://www.books.com.tw/products/J030114840?loc=P_0004_060,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/J03/011/48/J030114840.jpg&v=64228969k&w=150&h=150,優惠價：245元
61,WITCH WATCH魔女守護者 7 (首刷附錄版),https://www.books.com.tw/products/0010952607?loc=P_0004_061,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/26/0010952607.jpg&v=64119f09k&w=150&h=150,優惠價：95折95元
62,[數位版]PSN點數 $1500,https://www.books.com.tw/products/N001369181?loc=P_0004_062,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/136/91/N001369181.jpg&v=61a8921bk&w=150&h=150,優惠價：1500元
63,MATTEL UNO超級瑪利歐 桌上遊戲,https://www.books.com.tw/products/N001182312?loc=P_0004_063,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/118/23/N001182312.jpg&v=5ebe5d96k&w=150&h=150,優惠價：329元
64,鈴芽之旅（首刷限定版）,https://www.books.com.tw/products/0010946064?loc=P_0004_064,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/60/0010946064.jpg&v=63ac1bbdk&w=150&h=150,優惠價：79折300元
65,晚安，我的生命,https://www.books.com.tw/products/0010951617?loc=P_0004_065,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/16/0010951617.jpg&v=64007ac7k&w=150&h=150,優惠價：79折331元
66,【我的健康日記】夜食酵素EX 2入,https://www.books.com.tw/products/N001522582?loc=P_0004_066,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/152/25/N001522582.jpg&v=63ad25d8k&w=150&h=150,優惠價：69元
67,找到冷鑽股，美股獲利穩穩賺：善用C.O.L.D.系統，挑出隱形績優股,https://www.books.com.tw/products/0010952688?loc=P_0004_067,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/26/0010952688.jpg&v=6412f01ek&w=150&h=150,優惠價：79折300元
68,到道東：北海道東部地區魅力指南,https://www.books.com.tw/products/0010951864?loc=P_0004_068,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/18/0010951864.jpg&v=640712d5k&w=150&h=150,優惠價：79折276元
69,韓國 Medi Flower 秘密花園頭皮養護噴霧 (100ml),https://www.books.com.tw/products/N001499582?loc=P_0004_069,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/149/95/N001499582.jpg&v=63478d43k&w=150&h=150,優惠價：249元
70,艾薇 / 獨角獸,https://www.books.com.tw/products/0020231630?loc=P_0004_070,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/023/16/0020231630.jpg&v=642ff15ck&w=150&h=150,優惠價：418元
71,後宮之烏7：海之彼方（最終卷） (電子書),https://www.books.com.tw/products/E050157657?loc=P_0004_071,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/015/76/E050157657.jpg&v=64338b28k&w=150&h=150,優惠價：228元
72,[星巴克]女神棉麻T型袋,https://www.books.com.tw/products/N001540050?loc=P_0004_072,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/154/00/N001540050.jpg&v=641ad256k&w=150&h=150,優惠價：9折450元
73,[星巴克]皮革女神筒型隨行杯袋,https://www.books.com.tw/products/N001539852?loc=P_0004_073,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/153/98/N001539852.jpg&v=641ace1dk&w=150&h=150,優惠價：9折288元
74,全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,https://www.books.com.tw/products/0010929979?loc=P_0004_074,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/99/0010929979.jpg&v=62c80733k&w=150&h=150,優惠價：79折394元
75,教出富小孩，猶太媽媽這樣說：用EQ教FQ最有效！【塔木德的財商教養智慧】,https://www.books.com.tw/products/0010948550?loc=P_0004_075,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/85/0010948550.jpg&v=63c7caack&w=150&h=150,優惠價：79折300元
76,長月無燼,https://www.books.com.tw/products/CN11726150?loc=P_0004_076,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/172/61/CN11726150.jpg&v=61dbfcb1k&w=150&h=150,優惠價：87折286元
77,[數位版]PSN點數 $500,https://www.books.com.tw/products/N001369178?loc=P_0004_077,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/136/91/N001369178.jpg&v=61a8921ak&w=150&h=150,優惠價：500元
78,想看妳露出羞恥的模樣 1,https://www.books.com.tw/products/0010947023?loc=P_0004_078,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/70/0010947023.jpg&v=63b6a6cek&w=150&h=150,優惠價：95折124元
79,故宮×史努比 太液荷風 托特包,https://www.books.com.tw/products/N001501382?loc=P_0004_079,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/150/13/N001501382.jpg&v=634d241dk&w=150&h=150,優惠價：450元
80,KOKUYO 展開式筆袋- 高透明,https://www.books.com.tw/products/N001542855?loc=P_0004_080,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/154/28/N001542855.jpg&v=640959c2k&w=150&h=150,優惠價：88折176元
81,自成一派：只此一家，別無分號,https://www.books.com.tw/products/0010952308?loc=P_0004_081,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/23/0010952308.jpg&v=640b0725k&w=150&h=150,優惠價：79折300元
82,『喜憨兒．送愛到部落』2023愛心母親節蛋糕募集(您不會收到商品),https://www.books.com.tw/products/N013185432?loc=P_0004_082,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/318/54/N013185432.jpg&v=641146f8k&w=150&h=150,優惠價：499元
83,【統一生機】蜜棗乾 130g/袋,https://www.books.com.tw/products/N001526363?loc=P_0004_083,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/152/63/N001526363.jpg&v=63be1e75k&w=150&h=150,優惠價：139元
84,【日本NAKAYA】日本製造長方形透明收納/食物保鮮盒830ml,https://www.books.com.tw/products/N001221793?loc=P_0004_084,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/122/17/N001221793.jpg&v=5f6ab8c8k&w=150&h=150,優惠價：68元
85,輝夜姬想讓人告白~天才們的戀愛頭腦戰~ 26,https://www.books.com.tw/products/0010952932?loc=P_0004_085,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/29/0010952932.jpg&v=641835ebk&w=150&h=150,優惠價：95折133元
86,[數位版]PSN點數 $300,https://www.books.com.tw/products/N001369177?loc=P_0004_086,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/136/91/N001369177.jpg&v=61a8921ak&w=150&h=150,優惠價：300元
87,命中注定就在異世界,https://www.books.com.tw/products/0010954035?loc=P_0004_087,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954035.jpg&v=6424135dk&w=150&h=150,優惠價：79折118元
88,幼崽養護協會(3)(限)(完),https://www.books.com.tw/products/0010953820?loc=P_0004_088,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/38/0010953820.jpg&v=642170b3k&w=150&h=150,優惠價：79折260元
89,幼崽養護協會(2)(限),https://www.books.com.tw/products/0010953819?loc=P_0004_089,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/38/0010953819.jpg&v=642170b3k&w=150&h=150,優惠價：79折260元
90,幼崽養護協會(1)(限),https://www.books.com.tw/products/0010953818?loc=P_0004_090,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/38/0010953818.jpg&v=642170b2k&w=150&h=150,優惠價：79折260元
91,[星巴克]撞色提把隨行杯袋,https://www.books.com.tw/products/N001539778?loc=P_0004_091,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/153/97/N001539778.jpg&v=641aca99k&w=150&h=150,優惠價：9折324元
92,BLUE GIANT 藍色巨星(10)完,https://www.books.com.tw/products/0010954073?loc=P_0004_092,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954073.jpg&v=64241370k&w=150&h=150,優惠價：85折127元
93,小心喔，大姊姊 1,https://www.books.com.tw/products/0010952598?loc=P_0004_093,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/25/0010952598.jpg&v=64119f06k&w=150&h=150,優惠價：95折124元
94,後宮之烏7：海之彼方（最終卷．隨書收藏【單集烏妃宮裝卡】）,https://www.books.com.tw/products/0010953436?loc=P_0004_094,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/34/0010953436.jpg&v=641c2a5ek&w=150&h=150,優惠價：79折300元
95,全新制20次多益滿分的怪物講師TOEIC多益單字+文法（附1CD+防水書套）,https://www.books.com.tw/products/0010785313?loc=P_0004_095,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/078/53/0010785313.jpg&v=5c9b5ec1k&w=150&h=150,優惠價：79折394元
96,長月無燼：完結篇,https://www.books.com.tw/products/CN11742867?loc=P_0004_096,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/174/28/CN11742867.jpg&v=6281d602k&w=150&h=150,優惠價：87折286元
97,委屈是一道隔夜菜,https://www.books.com.tw/products/0010950905?loc=P_0004_097,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/09/0010950905.jpg&v=63f49d2fk&w=150&h=150,優惠價：79折331元
98,飢餓細胞：疾病的引爆點,https://www.books.com.tw/products/0010710115?loc=P_0004_098,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/071/01/0010710115.jpg&v=56ea8782k&w=150&h=150,優惠價：79折197元
99,【樂扣樂扣】CLASSICS系列高筒保鮮盒/正方形4L,https://www.books.com.tw/products/N000752069?loc=P_0004_099,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/075/20/N000752069.jpg&v=617b6ef2k&w=150&h=150,優惠價：299元
100,MBTI　我，和我的使用說明書：雪力獻給16型人們，找到最舒服的自己,https://www.books.com.tw/products/0010952176?loc=P_0004_100,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/21/0010952176.jpg&v=6409b5b5k&w=150&h=150,優惠價：79折355元
