query,exploreLink,rank,date
空氣品質,/trends/explore?q=%E7%A9%BA%E6%B0%A3%E5%93%81%E8%B3%AA&date=today+1-m&geo=TW,8,2023-04-04
狗狗幣,/trends/explore?q=%E7%8B%97%E7%8B%97%E5%B9%A3&date=today+1-m&geo=TW,9,2023-04-04
NCAA,/trends/explore?q=NCAA&date=today+1-m&geo=TW,10,2023-04-04
拼多多,/trends/explore?q=%E6%8B%BC%E5%A4%9A%E5%A4%9A&date=today+1-m&geo=TW,11,2023-04-04
獨行俠,/trends/explore?q=%E7%8D%A8%E8%A1%8C%E4%BF%A0&date=today+1-m&geo=TW,12,2023-04-04
郭台銘,/trends/explore?q=%E9%83%AD%E5%8F%B0%E9%8A%98&date=today+1-m&geo=TW,1,2023-04-05
瑪利歐電影,/trends/explore?q=%E7%91%AA%E5%88%A9%E6%AD%90%E9%9B%BB%E5%BD%B1&date=today+1-m&geo=TW,2,2023-04-05
湖人,/trends/explore?q=%E6%B9%96%E4%BA%BA&date=today+1-m&geo=TW,3,2023-04-05
TXT,/trends/explore?q=TXT&date=today+1-m&geo=TW,4,2023-04-05
哈孝遠,/trends/explore?q=%E5%93%88%E5%AD%9D%E9%81%A0&date=today+1-m&geo=TW,5,2023-04-05
鄧紫棋,/trends/explore?q=%E9%84%A7%E7%B4%AB%E6%A3%8B&date=today+1-m&geo=TW,6,2023-04-05
愛莉莎莎男友,/trends/explore?q=%E6%84%9B%E8%8E%89%E8%8E%8E%E8%8E%8E%E7%94%B7%E5%8F%8B&date=today+1-m&geo=TW,7,2023-04-05
Aesop,/trends/explore?q=Aesop&date=today+1-m&geo=TW,8,2023-04-05
陳韻文,/trends/explore?q=%E9%99%B3%E9%9F%BB%E6%96%87&date=today+1-m&geo=TW,9,2023-04-05
張嘉倪,/trends/explore?q=%E5%BC%B5%E5%98%89%E5%80%AA&date=today+1-m&geo=TW,10,2023-04-05
靜宜大學,/trends/explore?q=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8&date=today+1-m&geo=TW,1,2023-04-06
蔡英文,/trends/explore?q=%E8%94%A1%E8%8B%B1%E6%96%87&date=today+1-m&geo=TW,2,2023-04-06
長月燼明,/trends/explore?q=%E9%95%B7%E6%9C%88%E7%87%BC%E6%98%8E&date=today+1-m&geo=TW,3,2023-04-06
陳奕迅演唱會門票,/trends/explore?q=%E9%99%B3%E5%A5%95%E8%BF%85%E6%BC%94%E5%94%B1%E6%9C%83%E9%96%80%E7%A5%A8&date=today+1-m&geo=TW,4,2023-04-06
郵局領6000,/trends/explore?q=%E9%83%B5%E5%B1%80%E9%A0%986000&date=today+1-m&geo=TW,5,2023-04-06
復活節,/trends/explore?q=%E5%BE%A9%E6%B4%BB%E7%AF%80&date=today+1-m&geo=TW,6,2023-04-06
鄭南榕,/trends/explore?q=%E9%84%AD%E5%8D%97%E6%A6%95&date=today+1-m&geo=TW,7,2023-04-06
陳啟昱,/trends/explore?q=%E9%99%B3%E5%95%9F%E6%98%B1&date=today+1-m&geo=TW,8,2023-04-06
易烊千璽,/trends/explore?q=%E6%98%93%E7%83%8A%E5%8D%83%E7%92%BD&date=today+1-m&geo=TW,9,2023-04-06
長榮海運,/trends/explore?q=%E9%95%B7%E6%A6%AE%E6%B5%B7%E9%81%8B&date=today+1-m&geo=TW,10,2023-04-06
竇驍,/trends/explore?q=%E7%AB%87%E9%A9%8D&date=today+1-m&geo=TW,11,2023-04-06
澤倫斯基,/trends/explore?q=%E6%BE%A4%E5%80%AB%E6%96%AF%E5%9F%BA&date=today+1-m&geo=TW,12,2023-04-06
奇鋐,/trends/explore?q=%E5%A5%87%E9%8B%90&date=today+1-m&geo=TW,13,2023-04-06
台端,/trends/explore?q=%E5%8F%B0%E7%AB%AF&date=today+1-m&geo=TW,14,2023-04-06
緬甸仰光,/trends/explore?q=%E7%B7%AC%E7%94%B8%E4%BB%B0%E5%85%89&date=today+1-m&geo=TW,15,2023-04-06
台南火災,/trends/explore?q=%E5%8F%B0%E5%8D%97%E7%81%AB%E7%81%BD&date=today+1-m&geo=TW,16,2023-04-06
陳妍希,/trends/explore?q=%E9%99%B3%E5%A6%8D%E5%B8%8C&date=today+1-m&geo=TW,17,2023-04-06
解婕翎,/trends/explore?q=%E8%A7%A3%E5%A9%95%E7%BF%8E&date=today+1-m&geo=TW,18,2023-04-06
王道銀行,/trends/explore?q=%E7%8E%8B%E9%81%93%E9%8A%80%E8%A1%8C&date=today+1-m&geo=TW,19,2023-04-06
英業達,/trends/explore?q=%E8%8B%B1%E6%A5%AD%E9%81%94&date=today+1-m&geo=TW,20,2023-04-06
陳奕迅,/trends/explore?q=%E9%99%B3%E5%A5%95%E8%BF%85&date=now+7-d&geo=TW,1,2023-04-07
沈鴻元,/trends/explore?q=%E6%B2%88%E9%B4%BB%E5%85%83&date=now+7-d&geo=TW,2,2023-04-07
遠景基金會,/trends/explore?q=%E9%81%A0%E6%99%AF%E5%9F%BA%E9%87%91%E6%9C%83&date=now+7-d&geo=TW,3,2023-04-07
草東沒有派對,/trends/explore?q=%E8%8D%89%E6%9D%B1%E6%B2%92%E6%9C%89%E6%B4%BE%E5%B0%8D&date=now+7-d&geo=TW,4,2023-04-07
Lululemon,/trends/explore?q=Lululemon&date=now+7-d&geo=TW,5,2023-04-07
劉子賢,/trends/explore?q=%E5%8A%89%E5%AD%90%E8%B3%A2&date=now+7-d&geo=TW,6,2023-04-07
囝仔昌,/trends/explore?q=%E5%9B%9D%E4%BB%94%E6%98%8C&date=now+7-d&geo=TW,7,2023-04-07
Epic,/trends/explore?q=Epic&date=now+7-d&geo=TW,8,2023-04-07
屏東三大日音樂節,/trends/explore?q=%E5%B1%8F%E6%9D%B1%E4%B8%89%E5%A4%A7%E6%97%A5%E9%9F%B3%E6%A8%82%E7%AF%80&date=now+7-d&geo=TW,9,2023-04-07
肯德基蛋撻,/trends/explore?q=%E8%82%AF%E5%BE%B7%E5%9F%BA%E8%9B%8B%E6%92%BB&date=now+7-d&geo=TW,10,2023-04-07
速命道,/trends/explore?q=%E9%80%9F%E5%91%BD%E9%81%93&date=now+7-d&geo=TW,11,2023-04-07
以色列,/trends/explore?q=%E4%BB%A5%E8%89%B2%E5%88%97&date=now+7-d&geo=TW,12,2023-04-07
華夏科技大學,/trends/explore?q=%E8%8F%AF%E5%A4%8F%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%B8&date=now+7-d&geo=TW,13,2023-04-07
聯發科,/trends/explore?q=%E8%81%AF%E7%99%BC%E7%A7%91&date=now+7-d&geo=TW,14,2023-04-07
樂樂法利,/trends/explore?q=%E6%A8%82%E6%A8%82%E6%B3%95%E5%88%A9&date=now+7-d&geo=TW,15,2023-04-07
非農就業數據,/trends/explore?q=%E9%9D%9E%E8%BE%B2%E5%B0%B1%E6%A5%AD%E6%95%B8%E6%93%9A&date=now+7-d&geo=TW,16,2023-04-07
味全龍,/trends/explore?q=%E5%91%B3%E5%85%A8%E9%BE%8D&date=now+7-d&geo=TW,17,2023-04-07
腸病毒,/trends/explore?q=%E8%85%B8%E7%97%85%E6%AF%92&date=now+7-d&geo=TW,18,2023-04-07
張家界,/trends/explore?q=%E5%BC%B5%E5%AE%B6%E7%95%8C&date=now+7-d&geo=TW,19,2023-04-07
九二共識,/trends/explore?q=%E4%B9%9D%E4%BA%8C%E5%85%B1%E8%AD%98&date=now+7-d&geo=TW,20,2023-04-07
陳天仁,/trends/explore?q=%E9%99%B3%E5%A4%A9%E4%BB%81&date=now+7-d&geo=TW,1,2023-04-08
大嘻哈時代2,/trends/explore?q=%E5%A4%A7%E5%98%BB%E5%93%88%E6%99%82%E4%BB%A32&date=now+7-d&geo=TW,2,2023-04-08
戴資穎,/trends/explore?q=%E6%88%B4%E8%B3%87%E7%A9%8E&date=now+7-d&geo=TW,3,2023-04-08
吳欣岱,/trends/explore?q=%E5%90%B3%E6%AC%A3%E5%B2%B1&date=now+7-d&geo=TW,4,2023-04-08
軍演,/trends/explore?q=%E8%BB%8D%E6%BC%94&date=now+7-d&geo=TW,5,2023-04-08
口罩解禁,/trends/explore?q=%E5%8F%A3%E7%BD%A9%E8%A7%A3%E7%A6%81&date=now+7-d&geo=TW,6,2023-04-08
林為洲,/trends/explore?q=%E6%9E%97%E7%82%BA%E6%B4%B2&date=now+7-d&geo=TW,7,2023-04-08
花蓮客運,/trends/explore?q=%E8%8A%B1%E8%93%AE%E5%AE%A2%E9%81%8B&date=now+7-d&geo=TW,8,2023-04-08
劉揚偉,/trends/explore?q=%E5%8A%89%E6%8F%9A%E5%81%89&date=now+7-d&geo=TW,9,2023-04-08
朱立倫,/trends/explore?q=%E6%9C%B1%E7%AB%8B%E5%80%AB&date=now+7-d&geo=TW,10,2023-04-08
許維恩,/trends/explore?q=%E8%A8%B1%E7%B6%AD%E6%81%A9&date=now+7-d&geo=TW,11,2023-04-08
巧克力,/trends/explore?q=%E5%B7%A7%E5%85%8B%E5%8A%9B&date=now+7-d&geo=TW,12,2023-04-08
張員瑛,/trends/explore?q=%E5%BC%B5%E5%93%A1%E7%91%9B&date=now+7-d&geo=TW,13,2023-04-08
澎恰恰,/trends/explore?q=%E6%BE%8E%E6%81%B0%E6%81%B0&date=now+7-d&geo=TW,14,2023-04-08
林靖恩,/trends/explore?q=%E6%9E%97%E9%9D%96%E6%81%A9&date=now+7-d&geo=TW,1,2023-04-09
Atm領6000,/trends/explore?q=Atm%E9%A0%986000&date=now+7-d&geo=TW,2,2023-04-09
復活節,/trends/explore?q=%E5%BE%A9%E6%B4%BB%E7%AF%80&date=now+7-d&geo=TW,3,2023-04-09
靜宜女大生,/trends/explore?q=%E9%9D%9C%E5%AE%9C%E5%A5%B3%E5%A4%A7%E7%94%9F&date=now+7-d&geo=TW,4,2023-04-09
白靈,/trends/explore?q=%E7%99%BD%E9%9D%88&date=now+7-d&geo=TW,5,2023-04-09
學測作文玉蘭花,/trends/explore?q=%E5%AD%B8%E6%B8%AC%E4%BD%9C%E6%96%87%E7%8E%89%E8%98%AD%E8%8A%B1&date=now+7-d&geo=TW,6,2023-04-09
Taylor Swift,/trends/explore?q=Taylor+Swift&date=now+7-d&geo=TW,7,2023-04-09
廖元豪,/trends/explore?q=%E5%BB%96%E5%85%83%E8%B1%AA&date=now+7-d&geo=TW,8,2023-04-09
大帝國舞廳,/trends/explore?q=%E5%A4%A7%E5%B8%9D%E5%9C%8B%E8%88%9E%E5%BB%B3&date=now+7-d&geo=TW,9,2023-04-09
余謙,/trends/explore?q=%E4%BD%99%E8%AC%99&date=now+7-d&geo=TW,10,2023-04-09
林書豪,/trends/explore?q=%E6%9E%97%E6%9B%B8%E8%B1%AA&date=now+7-d&geo=TW,11,2023-04-09
以色列,/trends/explore?q=%E4%BB%A5%E8%89%B2%E5%88%97&date=now+7-d&geo=TW,12,2023-04-09
飢渴遊戲,/trends/explore?q=%E9%A3%A2%E6%B8%B4%E9%81%8A%E6%88%B2&date=now+7-d&geo=TW,13,2023-04-09
水星的魔女,/trends/explore?q=%E6%B0%B4%E6%98%9F%E7%9A%84%E9%AD%94%E5%A5%B3&date=now+7-d&geo=TW,14,2023-04-09
光露營就很忙了,/trends/explore?q=%E5%85%89%E9%9C%B2%E7%87%9F%E5%B0%B1%E5%BE%88%E5%BF%99%E4%BA%86&date=now+7-d&geo=TW,15,2023-04-09
賈靜雯,/trends/explore?q=%E8%B3%88%E9%9D%9C%E9%9B%AF&date=now+7-d&geo=TW,16,2023-04-09
曹雅雯,/trends/explore?q=%E6%9B%B9%E9%9B%85%E9%9B%AF&date=now+7-d&geo=TW,17,2023-04-09
EXO,/trends/explore?q=EXO&date=now+7-d&geo=TW,18,2023-04-09
統一獅,/trends/explore?q=%E7%B5%B1%E4%B8%80%E7%8D%85&date=now+7-d&geo=TW,19,2023-04-09
Yahoo,/trends/explore?q=Yahoo&date=now+7-d&geo=TW,1,2023-04-10
吳耀漢,/trends/explore?q=%E5%90%B3%E8%80%80%E6%BC%A2&date=now+7-d&geo=TW,2,2023-04-10
鬼滅之刃刀匠村篇,/trends/explore?q=%E9%AC%BC%E6%BB%85%E4%B9%8B%E5%88%83%E5%88%80%E5%8C%A0%E6%9D%91%E7%AF%87&date=now+7-d&geo=TW,3,2023-04-10
達賴喇嘛,/trends/explore?q=%E9%81%94%E8%B3%B4%E5%96%87%E5%98%9B&date=now+7-d&geo=TW,4,2023-04-10
台積電,/trends/explore?q=%E5%8F%B0%E7%A9%8D%E9%9B%BB&date=now+7-d&geo=TW,5,2023-04-10
猴痘疫苗,/trends/explore?q=%E7%8C%B4%E7%97%98%E7%96%AB%E8%8B%97&date=now+7-d&geo=TW,6,2023-04-10
股市,/trends/explore?q=%E8%82%A1%E5%B8%82&date=now+7-d&geo=TW,7,2023-04-10
歐冠,/trends/explore?q=%E6%AD%90%E5%86%A0&date=now+7-d&geo=TW,8,2023-04-10
富邦產險,/trends/explore?q=%E5%AF%8C%E9%82%A6%E7%94%A2%E9%9A%AA&date=now+7-d&geo=TW,9,2023-04-10
馬克宏,/trends/explore?q=%E9%A6%AC%E5%85%8B%E5%AE%8F&date=now+7-d&geo=TW,10,2023-04-10
匯率,/trends/explore?q=%E5%8C%AF%E7%8E%87&date=now+7-d&geo=TW,11,2023-04-10
永豐銀行,/trends/explore?q=%E6%B0%B8%E8%B1%90%E9%8A%80%E8%A1%8C&date=now+7-d&geo=TW,12,2023-04-10
1111人力銀行,/trends/explore?q=1111%E4%BA%BA%E5%8A%9B%E9%8A%80%E8%A1%8C&date=now+7-d&geo=TW,13,2023-04-10
Scratch,/trends/explore?q=Scratch&date=now+7-d&geo=TW,14,2023-04-10
眼球中央電視台,/trends/explore?q=%E7%9C%BC%E7%90%83%E4%B8%AD%E5%A4%AE%E9%9B%BB%E8%A6%96%E5%8F%B0&date=now+7-d&geo=TW,15,2023-04-10
陳零九,/trends/explore?q=%E9%99%B3%E9%9B%B6%E4%B9%9D&date=now+7-d&geo=TW,16,2023-04-10
全民共享普發現金,/trends/explore?q=%E5%85%A8%E6%B0%91%E5%85%B1%E4%BA%AB%E6%99%AE%E7%99%BC%E7%8F%BE%E9%87%91&date=now+7-d&geo=TW,17,2023-04-10
Selina,/trends/explore?q=Selina&date=now+7-d&geo=TW,18,2023-04-10
國泰人壽,/trends/explore?q=%E5%9C%8B%E6%B3%B0%E4%BA%BA%E5%A3%BD&date=now+7-d&geo=TW,19,2023-04-10
台電,/trends/explore?q=%E5%8F%B0%E9%9B%BB&date=now+7-d&geo=TW,20,2023-04-10
鄭彩律,/trends/explore?q=%E9%84%AD%E5%BD%A9%E5%BE%8B&date=now+7-d&geo=TW,1,2023-04-11
CPI,/trends/explore?q=CPI&date=now+7-d&geo=TW,2,2023-04-11
沈可婷,/trends/explore?q=%E6%B2%88%E5%8F%AF%E5%A9%B7&date=now+7-d&geo=TW,3,2023-04-11
林昀儒,/trends/explore?q=%E6%9E%97%E6%98%80%E5%84%92&date=now+7-d&geo=TW,4,2023-04-11
劉世芳,/trends/explore?q=%E5%8A%89%E4%B8%96%E8%8A%B3&date=now+7-d&geo=TW,5,2023-04-11
Ravi,/trends/explore?q=Ravi&date=now+7-d&geo=TW,6,2023-04-11
台積電高雄,/trends/explore?q=%E5%8F%B0%E7%A9%8D%E9%9B%BB%E9%AB%98%E9%9B%84&date=now+7-d&geo=TW,7,2023-04-11
雞排妹,/trends/explore?q=%E9%9B%9E%E6%8E%92%E5%A6%B9&date=now+7-d&geo=TW,8,2023-04-11
華城,/trends/explore?q=%E8%8F%AF%E5%9F%8E&date=now+7-d&geo=TW,9,2023-04-11
李毓芬,/trends/explore?q=%E6%9D%8E%E6%AF%93%E8%8A%AC&date=now+7-d&geo=TW,10,2023-04-11
華夏科技大學,/trends/explore?q=%E8%8F%AF%E5%A4%8F%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%B8&date=now+7-d&geo=TW,11,2023-04-11
台灣文蛤,/trends/explore?q=%E5%8F%B0%E7%81%A3%E6%96%87%E8%9B%A4&date=now+7-d&geo=TW,12,2023-04-11
美光,/trends/explore?q=%E7%BE%8E%E5%85%89&date=now+7-d&geo=TW,13,2023-04-11
王世堅,/trends/explore?q=%E7%8E%8B%E4%B8%96%E5%A0%85&date=now+7-d&geo=TW,14,2023-04-11
台泥,/trends/explore?q=%E5%8F%B0%E6%B3%A5&date=now+7-d&geo=TW,15,2023-04-11
良民證,/trends/explore?q=%E8%89%AF%E6%B0%91%E8%AD%89&date=now+7-d&geo=TW,16,2023-04-11
台指期,/trends/explore?q=%E5%8F%B0%E6%8C%87%E6%9C%9F&date=now+7-d&geo=TW,17,2023-04-11
TSMC,/trends/explore?q=TSMC&date=now+7-d&geo=TW,18,2023-04-11
王高成,/trends/explore?q=%E7%8E%8B%E9%AB%98%E6%88%90&date=now+7-d&geo=TW,1,2023-04-12
楊曜,/trends/explore?q=%E6%A5%8A%E6%9B%9C&date=now+7-d&geo=TW,2,2023-04-12
CPI,/trends/explore?q=CPI&date=now+7-d&geo=TW,3,2023-04-12
酷航,/trends/explore?q=%E9%85%B7%E8%88%AA&date=now+7-d&geo=TW,4,2023-04-12
漢翔,/trends/explore?q=%E6%BC%A2%E7%BF%94&date=now+7-d&geo=TW,5,2023-04-12
歐冠,/trends/explore?q=%E6%AD%90%E5%86%A0&date=now+7-d&geo=TW,6,2023-04-12
朴敘俊,/trends/explore?q=%E6%9C%B4%E6%95%98%E4%BF%8A&date=now+7-d&geo=TW,7,2023-04-12
LINE TODAY,/trends/explore?q=LINE+TODAY&date=now+7-d&geo=TW,8,2023-04-12
禁航區,/trends/explore?q=%E7%A6%81%E8%88%AA%E5%8D%80&date=now+7-d&geo=TW,9,2023-04-12
貿易壁壘,/trends/explore?q=%E8%B2%BF%E6%98%93%E5%A3%81%E5%A3%98&date=now+7-d&geo=TW,10,2023-04-12
葛斯齊,/trends/explore?q=%E8%91%9B%E6%96%AF%E9%BD%8A&date=now+7-d&geo=TW,11,2023-04-12
莊鍶敏,/trends/explore?q=%E8%8E%8A%E9%8D%B6%E6%95%8F&date=now+7-d&geo=TW,12,2023-04-12
地震魚,/trends/explore?q=%E5%9C%B0%E9%9C%87%E9%AD%9A&date=now+7-d&geo=TW,13,2023-04-12
潑水節,/trends/explore?q=%E6%BD%91%E6%B0%B4%E7%AF%80&date=now+7-d&geo=TW,14,2023-04-12
NBA附加賽,/trends/explore?q=NBA%E9%99%84%E5%8A%A0%E8%B3%BD&date=now+7-d&geo=TW,15,2023-04-12
曼城,/trends/explore?q=%E6%9B%BC%E5%9F%8E&date=now+7-d&geo=TW,16,2023-04-12
中工,/trends/explore?q=%E4%B8%AD%E5%B7%A5&date=now+7-d&geo=TW,17,2023-04-12
國民法官,/trends/explore?q=%E5%9C%8B%E6%B0%91%E6%B3%95%E5%AE%98&date=now+7-d&geo=TW,18,2023-04-12
南亞科,/trends/explore?q=%E5%8D%97%E4%BA%9E%E7%A7%91&date=now+7-d&geo=TW,19,2023-04-12
興富發,/trends/explore?q=%E8%88%88%E5%AF%8C%E7%99%BC&date=now+7-d&geo=TW,20,2023-04-12
我推的孩子,/trends/explore?q=%E6%88%91%E6%8E%A8%E7%9A%84%E5%AD%A9%E5%AD%90&date=now+7-d&geo=TW,1,2023-04-13
國安基金,/trends/explore?q=%E5%9C%8B%E5%AE%89%E5%9F%BA%E9%87%91&date=now+7-d&geo=TW,2,2023-04-13
ROG Phone 7,/trends/explore?q=ROG+Phone+7&date=now+7-d&geo=TW,3,2023-04-13
賴清德,/trends/explore?q=%E8%B3%B4%E6%B8%85%E5%BE%B7&date=now+7-d&geo=TW,4,2023-04-13
高端,/trends/explore?q=%E9%AB%98%E7%AB%AF&date=now+7-d&geo=TW,5,2023-04-13
李昇基,/trends/explore?q=%E6%9D%8E%E6%98%87%E5%9F%BA&date=now+7-d&geo=TW,6,2023-04-13
中鋼紀念品,/trends/explore?q=%E4%B8%AD%E9%8B%BC%E7%B4%80%E5%BF%B5%E5%93%81&date=now+7-d&geo=TW,7,2023-04-13
王世堅,/trends/explore?q=%E7%8E%8B%E4%B8%96%E5%A0%85&date=now+7-d&geo=TW,8,2023-04-13
NMIXX,/trends/explore?q=NMIXX&date=now+7-d&geo=TW,9,2023-04-13
大立光,/trends/explore?q=%E5%A4%A7%E7%AB%8B%E5%85%89&date=now+7-d&geo=TW,10,2023-04-13
台東大學,/trends/explore?q=%E5%8F%B0%E6%9D%B1%E5%A4%A7%E5%AD%B8&date=now+7-d&geo=TW,11,2023-04-13
4070,/trends/explore?q=4070&date=now+7-d&geo=TW,12,2023-04-13
泰國潑水節,/trends/explore?q=%E6%B3%B0%E5%9C%8B%E6%BD%91%E6%B0%B4%E7%AF%80&date=now+7-d&geo=TW,13,2023-04-13
翁記滷肉飯,/trends/explore?q=%E7%BF%81%E8%A8%98%E6%BB%B7%E8%82%89%E9%A3%AF&date=now+7-d&geo=TW,14,2023-04-13
台船,/trends/explore?q=%E5%8F%B0%E8%88%B9&date=now+7-d&geo=TW,15,2023-04-13
日月光,/trends/explore?q=%E6%97%A5%E6%9C%88%E5%85%89&date=now+7-d&geo=TW,16,2023-04-13
東離劍遊紀M,/trends/explore?q=%E6%9D%B1%E9%9B%A2%E5%8A%8D%E9%81%8A%E7%B4%80M&date=now+7-d&geo=TW,17,2023-04-13
伍佰,/trends/explore?q=%E4%BC%8D%E4%BD%B0&date=now+7-d&geo=TW,18,2023-04-13
Ariana Grande,/trends/explore?q=Ariana+Grande&date=now+7-d&geo=TW,19,2023-04-13
龍德造船,/trends/explore?q=%E9%BE%8D%E5%BE%B7%E9%80%A0%E8%88%B9&date=now+7-d&geo=TW,20,2023-04-13
空氣品質,/trends/explore?q=%E7%A9%BA%E6%B0%A3%E5%93%81%E8%B3%AA&date=now+7-d&geo=TW,1,2023-04-14
薩爾達傳說王國之淚,/trends/explore?q=%E8%96%A9%E7%88%BE%E9%81%94%E5%82%B3%E8%AA%AA%E7%8E%8B%E5%9C%8B%E4%B9%8B%E6%B7%9A&date=now+7-d&geo=TW,2,2023-04-14
玖壹壹,/trends/explore?q=%E7%8E%96%E5%A3%B9%E5%A3%B9&date=now+7-d&geo=TW,3,2023-04-14
周星馳,/trends/explore?q=%E5%91%A8%E6%98%9F%E9%A6%B3&date=now+7-d&geo=TW,4,2023-04-14
Rose,/trends/explore?q=Rose&date=now+7-d&geo=TW,5,2023-04-14
台達電,/trends/explore?q=%E5%8F%B0%E9%81%94%E9%9B%BB&date=now+7-d&geo=TW,6,2023-04-14
黃健庭,/trends/explore?q=%E9%BB%83%E5%81%A5%E5%BA%AD&date=now+7-d&geo=TW,7,2023-04-14
芬太尼,/trends/explore?q=%E8%8A%AC%E5%A4%AA%E5%B0%BC&date=now+7-d&geo=TW,8,2023-04-14
曼聯,/trends/explore?q=%E6%9B%BC%E8%81%AF&date=now+7-d&geo=TW,9,2023-04-14
周慧敏,/trends/explore?q=%E5%91%A8%E6%85%A7%E6%95%8F&date=now+7-d&geo=TW,10,2023-04-14
廣達,/trends/explore?q=%E5%BB%A3%E9%81%94&date=now+7-d&geo=TW,11,2023-04-14
劉瑞琪,/trends/explore?q=%E5%8A%89%E7%91%9E%E7%90%AA&date=now+7-d&geo=TW,12,2023-04-14
AutoGPT,/trends/explore?q=AutoGPT&date=now+7-d&geo=TW,13,2023-04-14
Aston Martin,/trends/explore?q=Aston+Martin&date=now+7-d&geo=TW,14,2023-04-14
藍眼淚,/trends/explore?q=%E8%97%8D%E7%9C%BC%E6%B7%9A&date=now+7-d&geo=TW,15,2023-04-14
台達電股價,/trends/explore?q=%E5%8F%B0%E9%81%94%E9%9B%BB%E8%82%A1%E5%83%B9&date=now+7-d&geo=TW,16,2023-04-14
